brand,category,type,capacity,model_code,product_name,mrp_npr,short_description,detailed_specs,specs_list,image_url,photo_path,warranty,source,whatsapp
AURA,Microwave Oven,microwave oven,32 L,AUMC32150FM,Aura 32 Ltr Grill and Convection Microwave (AUMC32150FM),28900,3 Years Warranty on Magnetron | | Gourmet Oven | | Mirror Door | | 390+ Auto Cook Menus | | Cooking End Signal | | Touch LED Display | | Digital Control and Clock | | 6 Power Levels | | Defrost by weight &amp; time | | Grill and Convection Function,Brand: AURA; SKU: 125065403_NP-1033956663,Brand: AURA | SKU: 125065403_NP-1033956663,https://static-01.daraz.com.np/p/d0b12b9204e4463cd7d216ab0d7cb738.jpg,photos\AURA\125065403-NP-1033956663.jpg,1 Year Brand Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,refrigerator,250,AUCF250HW,AURA Chest Freezer 250 Ltrs - AUCF250HW,49348,3 Years Warranty on Compressor | | Glossy White Plastic Inner Coating | | Compressor Fan | | Super Freezing Capacity | | Sliding Glass Door | | Adjustable Wheels | | Led Light | | External Handle | | Mechanical temperature control | | Lock and Key | | Basket,Brand: AURA; SKU: 131830333_NP-1039075002; Model: AUCF250HW; Capacity: 250; Freezer Type: Chest,Brand: AURA | SKU: 131830333_NP-1039075002 | Model: AUCF250HW | Capacity: 250 | Freezer Type: Chest,https://static-01.daraz.com.np/p/26f9b48b6d3ba94fcf7b0741be2394b8.png,photos\AURA\AUCF250HW.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,refrigerator,300,AUCF300HW,AURA Chest Freezer 300 Ltrs - AUCF300HW,58571,3 Years Warranty on Compressor | | Glossy White Plastic Inner Coating | | Compressor Fan | | Super Freezing Capacity | | Sliding Glass Door | | Adjustable Wheels | | Led Light | | External Handle | | Mechanical temperature control | | Lock and Key | | Basket,Brand: AURA; SKU: 131828377_NP-1039066559; Capacity: 300; Freezer Type: Chest; Model: AUCF300HW,Brand: AURA | SKU: 131828377_NP-1039066559 | Capacity: 300 | Freezer Type: Chest | Model: AUCF300HW,https://static-01.daraz.com.np/p/56a067c316952958afe7ca559c6cb066.png,photos\AURA\AUCF300HW.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,refrigerator,350,AUCF350HW,AURA Chest Freezer 350 Ltrs - AUCF350HW,66477,3 Years Warranty on Compressor | | Glossy White Plastic Inner Coating | | Compressor Fan | | Super Freezing Capacity | | Sliding Glass Door | | Adjustable Wheels | | Led Light | | External Handle | | Mechanical temperature control | | Lock and Key | | Basket,Brand: AURA; SKU: 131837208_NP-1039062891; Model: AUCF350HW; Capacity: 350; Freezer Type: Chest,Brand: AURA | SKU: 131837208_NP-1039062891 | Model: AUCF350HW | Capacity: 350 | Freezer Type: Chest,https://static-01.daraz.com.np/p/7edba9a45d4504d764c00d82442066c1.png,photos\AURA\AUCF350HW.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,refrigerator,250,AU250W,Aura  250 Liter Single Door Showcase | AU250W/ 5 Years Warranty,75150,"Keep your beverages fresh, chilled, and beautifully displayed with the stylish AURA Commercial Display Cooler. Designed for shops, supermarkets, cafés, restaurants, and convenience stores, this premium glass door refrigerator combines modern design with powerful cooling performance. Its elegant white body and illuminated AURA top branding create an attractive display that instantly catches customer attention. The cooler features a high-quality transparent double-layer glass door that helps maintain internal temperature while allowing customers to clearly view products inside. With spacious adjustable shelves, you can easily organize soft drinks, juice bottles, water, dairy items, energy drinks, and other chilled products according to your business needs. Equipped with an advanced fan cooling system, the refrigerator provides fast and even cooling throughout the cabinet, ensuring every product stays perfectly chilled. The built-in LED lighting enhances product visibility and gives the cooler a premium showroom look, especially during nighttime operation. For added convenience and security, the AURA cooler includes a built-in lock and key system, making it ideal for commercial use. T","Brand: AURA; SKU: 1519360908_NP-12347169485; Capacity: 250; Country Of Origin: India; Freezer Type: Chest; Freezer Features: Showcase Door,Adjustable Shelves; Auto Defrost: NO; Model: AU250W; Warranty Policy EN: 2 years Full Service Warranty & 5 years Warranty on Compressor","Brand: AURA | SKU: 1519360908_NP-12347169485 | Capacity: 250 | Country Of Origin: India | Freezer Type: Chest | Freezer Features: Showcase Door,Adjustable Shelves | Auto Defrost: NO | Model: AU250W | Warranty Policy EN: 2 years Full Service Warranty & 5 years Warranty on Compressor",https://static-01.daraz.com.np/p/07f0d4ba3d56fd0ef6e3b353a15e121e.jpg,photos\AURA\AU250W.jpg,2 Years Brand Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,refrigerator,375 L,AUS375W,Aura 375  Liters  Single Door Showcase | AUS375W/ 5 Years Warranty,87550,"Keep your beverages fresh, chilled, and beautifully displayed with the stylish AURA Commercial Display Cooler. Designed for shops, supermarkets, cafés, restaurants, and convenience stores, this premium glass door refrigerator combines modern design with powerful cooling performance. Its elegant white body and illuminated AURA top branding create an attractive display that instantly catches customer attention. The cooler features a high-quality transparent double-layer glass door that helps maintain internal temperature while allowing customers to clearly view products inside. With spacious adjustable shelves, you can easily organize soft drinks, juice bottles, water, dairy items, energy drinks, and other chilled products according to your business needs. Equipped with an advanced fan cooling system, the refrigerator provides fast and even cooling throughout the cabinet, ensuring every product stays perfectly chilled. The built-in LED lighting enhances product visibility and gives the cooler a premium showroom look, especially during nighttime operation. For added convenience and security, the AURA cooler includes a built-in lock and key system, making it ideal for commercial use. T",Brand: No Brand; SKU: 1544240456_NP-12361166048; Country Of Origin: India; Freezer Type: Upright; Freezer Features: Showcase Door; Auto Defrost: YES; Model: AUS375W; Warranty Policy EN: 2 years Full Service Warranty & 5 years Warranty on Compressor,Brand: No Brand | SKU: 1544240456_NP-12361166048 | Country Of Origin: India | Freezer Type: Upright | Freezer Features: Showcase Door | Auto Defrost: YES | Model: AUS375W | Warranty Policy EN: 2 years Full Service Warranty & 5 years Warranty on Compressor,https://static-01.daraz.com.np/p/7219d4099e531149d77ca1831a5c683c.jpg,photos\AURA\AUS375W.jpg,2 Years Brand Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,refrigerator,280,HYCGR2-280RK,Hyundai Double Door Refrigerators 280 Ltr .,62900,This Hyundai Double Door Refrigerator has a capacity of 280 liters and a frost-free Nofrost system. It has a 5-star energy rating and comes with an 11-year warranty. The refrigerator is designed with a freezer on top and double doors for easy access to your food and drinks. The product is from the brand Generic and has a model number of HYCGR2-280RK. This refrigerator is perfect for those who need a spacious and energy-efficient appliance to keep their food fresh and organized. Highlights: 280 Ltrs | | Stylish Handle | | Tempered Glass Shelves | | No Frost | | Stylish Interior LED Light | | Large Crisper Drawer with Humidity Control | | Anti Bacterial Gasket | | Reversible Door | | Lock &amp; Key | | Twist Ice Maker/Egg Tray | | Energy Class A+ | | Heavy Compressor | | Smart Cooling System | | 930 min. Back-Up After Power Off | | Stabilizer Free Operation (160V - 240V) | | Colour: INOX Silver | | 11 Years Warranty,Brand: HYUNDAI; SKU: 128283578_NP-1035528432; Refrigerator Type: Double Door; Net Depth (mm): 65; Net Height (mm): 120; Energy Rating: 5; Refrigerator Capacity (L): 280; Net Width (mm): 65; Warranty Duration: 11 Years; Inverter type air-conditioner: No; Number of doors: 2; Fridge Configuration: Freezer on top; Nofrost system: Frost Free; Model: HYCGR2-280RK; Warranty Policy EN: 11 Year Warranty On Compressor And 2 Years Warranty,Brand: HYUNDAI | SKU: 128283578_NP-1035528432 | Refrigerator Type: Double Door | Net Depth (mm): 65 | Net Height (mm): 120 | Energy Rating: 5 | Refrigerator Capacity (L): 280 | Net Width (mm): 65 | Warranty Duration: 11 Years | Inverter type air-conditioner: No | Number of doors: 2 | Fridge Configuration: Freezer on top | Nofrost system: Frost Free | Model: HYCGR2-280RK | Warranty Policy EN: 11 Year Warranty On Compressor And 2 Years Warranty,https://static-01.daraz.com.np/p/37ec558b0ed4144b0c07fc3ed8a6e7a7.jpg,photos\AURA\HYCGR2-280RK.jpg,11 Year Warranty On Compressor And 2 Years Warranty,daraz_scrape,9779765985999
AURA,Television,HD Smart TV,32 Inch,AURA-32HD-ATV,"AURA 32"" Frameless HD Smart Android TV",19990,"AURA 32-inch Frameless HD Smart LED TV with Android OS, WiFi, screen mirroring, and YouTube.","Screen: 32 Inch | HD Ready (1366x768) | Android TV OS | Frameless Design | 2x HDMI, 2x USB | 16W Box Speakers","Screen: 32 Inch | HD Ready (1366x768) | Android TV OS | Frameless Design | 2x HDMI, 2x USB | 16W Box Speakers",https://static-01.daraz.com.np/p/aura-32-hd-smart-tv.jpg,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779765985999
AURA,Television,FHD Smart Android TV,43 Inch,AURA-43FHD-ATV,"AURA 43"" Full HD Frameless Smart Android TV",38990,"AURA 43-inch Full HD frameless Smart TV with Google Android OS, Play Store, and YouTube 1080p.","Screen: 43 Inch | Full HD 1080p | Android TV OS | Frameless Bezel | 20W Stereo Sound | 2x HDMI, 2x USB","Screen: 43 Inch | Full HD 1080p | Android TV OS | Frameless Bezel | 20W Stereo Sound | 2x HDMI, 2x USB",https://static-01.daraz.com.np/p/aura-43-fhd-smart-tv.jpg,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779765985999
AURA,Television,4K UHD Smart WebOS TV,50 Inch,AURA-50U4K-WOS,"AURA 50"" 4K UHD WebOS Smart TV",59990,AURA 50-inch 4K UHD WebOS TV with frameless metallic bezel and crisp HDR cinema display.,Screen: 50 Inch | 4K UHD | WebOS Hub | Magic Remote | ThinQ AI | 20W Dolby Speakers | Dual Band WiFi,Screen: 50 Inch | 4K UHD | WebOS Hub | Magic Remote | ThinQ AI | 20W Dolby Speakers | Dual Band WiFi,https://static-01.daraz.com.np/p/aura-50-4k-webos-smart-tv.jpg,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779765985999
AURA,Television,4K UHD Smart WebOS TV,55 Inch,AURA-55U4K-WOS,"AURA 55"" 4K UHD WebOS Smart TV with Magic Remote",69990,AURA 55-inch 4K UHD Smart TV powered by official WebOS Hub with Magic Motion Remote and Dolby Audio.,"Screen: 55 Inch | 4K UHD (3840x2160) | Official LG WebOS Hub | Magic Remote with Air Mouse & Voice | HDR10 | Dolby Audio | 3x HDMI, 2x USB","Screen: 55 Inch | 4K UHD (3840x2160) | Official LG WebOS Hub | Magic Remote with Air Mouse & Voice | HDR10 | Dolby Audio | 3x HDMI, 2x USB",https://static-01.daraz.com.np/p/aura-55-4k-webos-smart-tv.jpg,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779765985999
AURA,Television,television,,AU32S,"Aura 32"" (32 inch) Android Smart TV - AU32S",21500,Full-Screen Display | | | | | | HD Resolution | | | | | | Android 14 | | | | | | WiFi | | | | | | YouTube | | | | | | Netflix | | | | | | Prime Video | | | | | | Google Play Store | | | | | | Screen Mirroring | | | | | | 1GB RAM + 8GB ROM | | | | | | 20W Sound Output | | | | | | USB- 2 | | | | | | HDMI- 2,Brand: AURA; SKU: 125090567_NP-1033968038; Smart TV OS: Android OS; Tv Resolution: HD (720p / 1280×720); Smart TV: Yes; display_size_tv: 32,Brand: AURA | SKU: 125090567_NP-1033968038 | Smart TV OS: Android OS | Tv Resolution: HD (720p / 1280×720) | Smart TV: Yes | display_size_tv: 32,https://static-01.daraz.com.np/p/5b5bb139da74a63a83c38fdd7de46a9b.png,photos\AURA\125090567-NP-1033968038.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Television,television,,AU43S,"Aura 43"" (43 inch) Android Smart TV - AU43S",36500,Full-Screen Display | | | | | | Full HD (FHD) Resolution | | | | | | Android 14 | | | | | | WiFi | | | | | | YouTube | | | | | | Netflix | | | | | | Prime Video | | | | | | Google Play Store | | | | | | Screen Mirroring | | | | | | 1GB RAM + 8GB ROM | | | | | | 20W Sound Output | | | | | | USB- 2 | | | | | | HDMI- 2,Brand: AURA; SKU: 125096239_NP-1033969001; Display Resolution: 1920 × 1080; Smart TV OS: Android OS; Speakers Config: 20W; TV Technology: Full HD; Number of USB ports: 2; Tv Resolution: Full HD (1080p / 1920×1080); Number of HDMI Ports: 2; Smart TV: Yes; display_size_tv: 43; Model: AU43S,Brand: AURA | SKU: 125096239_NP-1033969001 | Display Resolution: 1920 × 1080 | Smart TV OS: Android OS | Speakers Config: 20W | TV Technology: Full HD | Number of USB ports: 2 | Tv Resolution: Full HD (1080p / 1920×1080) | Number of HDMI Ports: 2 | Smart TV: Yes | display_size_tv: 43 | Model: AU43S,https://static-01.daraz.com.np/p/b34a05ff0d94071d08f59a44c6a8d0af.png,photos\AURA\AU43S.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Washing Machine,washing machine,7,OLFL 8WM,Aura 7 Kg Front Load Washing Machine Comet 4.5 kg Free,55500,Model - DL-FLWM8012IVT | | 7 Kg Capacity | | Titanium Color | | 1200 RPM | | BLDC Inverter Motor | | 3D Steam Prewash | | 99% Allergy Care | | 15 Wash Programmes | | 15 Minutes Quick Wash | | 1 years Full Priduct Warranty | | 10 Years Motor Warranty,"Brand: della; SKU: 131519364_NP-2157300593; Washing features: Cotton,Spin dry; Washing Capacity (kg): 7; Drum Type: Steel; Type of Washing Machine: Front Load; Maximum Spin Speed (RPM): 1200; Top Type: Front Load; Model Name/Number: OLFL 8WM","Brand: della | SKU: 131519364_NP-2157300593 | Washing features: Cotton,Spin dry | Washing Capacity (kg): 7 | Drum Type: Steel | Type of Washing Machine: Front Load | Maximum Spin Speed (RPM): 1200 | Top Type: Front Load | Model Name/Number: OLFL 8WM",https://np-live-21.slatic.net/kf/S2d420ac9aeb846fdb8b7cb1eade5744ce.jpg,photos\AURA\OLFL-8WM.jpg,1 year full product & 10 years on motor,daraz_scrape,9779765985999
AURA,Washing Machine,washing machine,7,DL-FLWM8012IVT,Aura 7 Kg Fully Automatic Front Load Washing Machine Comet 4.5 kg Free,55500,Model - AU 7 Kg | | 7 Kg Capacity | | Titanium Color | | 1200 RPM | | BLDC Inverter Motor | | 3D Steam Prewash | | 99% Allergy Care | | 15 Wash Programmes | | 15 Minutes Quick Wash | | 1 years Full Priduct Warranty | | 10 Years Motor Warranty,Brand: della; SKU: 116094221_NP-2157310612; Washing Capacity (kg): 7; Drum Type: Steel; Type of Washing Machine: Front Load; Maximum Spin Speed (RPM): 1200; Top Type: Front Load; Model Name/Number: DL-FLWM8012IVT,Brand: della | SKU: 116094221_NP-2157310612 | Washing Capacity (kg): 7 | Drum Type: Steel | Type of Washing Machine: Front Load | Maximum Spin Speed (RPM): 1200 | Top Type: Front Load | Model Name/Number: DL-FLWM8012IVT,https://np-live-21.slatic.net/kf/S6d19fc451de44b87b7d2812fcfc1378cJ.jpg,photos\AURA\DL-FLWM8012IVT.jpg,1 year full parts & 10 years on motor warranty,daraz_scrape,9779765985999
AURA,Washing Machine,washing machine,8,AU8FWM01,Aura 8 KG Front Loading Fully Automatic Washing Machine with Inverter Motor_AU8FWM01,80490,"Aura 8 kg Front Load Washing Machine – Long Description (Model: AU8FWM01) The Aura AU8FWM01 is a fully-automatic front-loading washing machine designed for modern homes with a medium-sized laundry workload. Its 8 kg capacity makes it ideal for families of about 2–5 people, comfortably handling daily clothing, linens, towels, and mixed fabric loads. ✅ Key Features 8 kg Washing Capacity: Large enough for everyday laundry needs and heavier items like bedding. Front-Loading Design: Gentle on clothes and more water-efficient compared with top-load models. Fully Automatic Operation: Set wash cycle and water level, and the machine handles the rest. Digital/LED Control Panel: Easy-to-use interface for selecting wash programs, spin speeds, and options like delay start and child lock. (Typical for front-loads in this range) Multiple Wash Programs: Likely includes standard cycles such as cotton, synthetic, delicate, quick wash, heavy wash, and rinse/spin. High Spin Speed: Speeds around 1000–1400 rpm for better water extraction and faster drying. (Common range for 8 kg front loaders) Stainless Steel Drum: Durable inner drum that resists rust and helps protect fabrics. Energy & Water Efficiency","Brand: AURA; SKU: 129258254_NP-1037271679; Washing features: Other,Cotton,Quick Wash; Washing Capacity (kg): 8; Drum Type: Steel; Type of Washing Machine: Front Load; Maximum Spin Speed (RPM): 1400; Top Type: Front Load; Model Name/Number: AU8FWM01; Washing Mode: Spin; Warranty Policy EN: 1 years Full Services Warranty & 10 years warranty  on motor","Brand: AURA | SKU: 129258254_NP-1037271679 | Washing features: Other,Cotton,Quick Wash | Washing Capacity (kg): 8 | Drum Type: Steel | Type of Washing Machine: Front Load | Maximum Spin Speed (RPM): 1400 | Top Type: Front Load | Model Name/Number: AU8FWM01 | Washing Mode: Spin | Warranty Policy EN: 1 years Full Services Warranty & 10 years warranty  on motor",https://static-01.daraz.com.np/p/f74575714d9ac096d24765f44ebb8fd5.jpg,photos\AURA\AU8FWM01.jpg,1 years Full Services Warranty & 10 years warranty on motor,daraz_scrape,9779765985999
