brand,category,type,capacity,model_code,product_name,mrp_npr,photo_path,photo_url,image_url,warranty,source,whatsapp
AURA,Refrigerator,refrigerator,300,AUCF300HW,AURA Chest Freezer 300 Ltrs - AUCF300HW,58571,photos\AURA\AUCF300HW.webp,https://joinelectroniccenter.com/photos/AURA/AUCF300HW.webp,https://static-01.daraz.com.np/p/56a067c316952958afe7ca559c6cb066.png,1 Year Seller Warranty,daraz_scrape,9779851045662
AURA,Refrigerator,refrigerator,350,AUCF350HW,AURA Chest Freezer 350 Ltrs - AUCF350HW,66477,photos\AURA\AUCF350HW.webp,https://joinelectroniccenter.com/photos/AURA/AUCF350HW.webp,https://static-01.daraz.com.np/p/7edba9a45d4504d764c00d82442066c1.png,1 Year Seller Warranty,daraz_scrape,9779851045662
AURA,Refrigerator,refrigerator,250,AU250W,Aura  250 Liter Single Door Showcase | AU250W/ 5 Years Warranty,75150,photos\AURA\AU250W.webp,https://joinelectroniccenter.com/photos/AURA/AU250W.webp,https://static-01.daraz.com.np/p/07f0d4ba3d56fd0ef6e3b353a15e121e.jpg,2 Years Brand Warranty,daraz_scrape,9779851045662
AURA,Refrigerator,refrigerator,375 L,AUS375W,Aura 375  Liters  Single Door Showcase | AUS375W/ 5 Years Warranty,87550,photos\AURA\AUS375W.jpg,https://joinelectroniccenter.com/photos/AURA/AUS375W.jpg,https://static-01.daraz.com.np/p/7219d4099e531149d77ca1831a5c683c.jpg,2 Years Brand Warranty,daraz_scrape,9779851045662
AURA,Refrigerator,refrigerator,280,HYCGR2-280RK,Hyundai Double Door Refrigerators 280 Ltr .,62900,photos\AURA\HYCGR2-280RK.webp,https://joinelectroniccenter.com/photos/AURA/HYCGR2-280RK.webp,https://static-01.daraz.com.np/p/37ec558b0ed4144b0c07fc3ed8a6e7a7.jpg,11 Year Warranty On Compressor And 2 Years Warranty,daraz_scrape,9779851045662
AURA,Television,HD Smart TV,32 Inch,AURA-32HD-ATV,"AURA 32"" Frameless HD Smart Android TV",19990,photos\AURA\AURA-32HD-ATV.webp,https://joinelectroniccenter.com/photos/AURA/AURA-32HD-ATV.webp,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779851045662
AURA,Television,FHD Smart Android TV,43 Inch,AURA-43FHD-ATV,"AURA 43"" Full HD Frameless Smart Android TV",38990,photos\AURA\AURA-43FHD-ATV.webp,https://joinelectroniccenter.com/photos/AURA/AURA-43FHD-ATV.webp,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779851045662
AURA,Television,4K UHD Smart WebOS TV,50 Inch,AURA-50U4K-WOS,"AURA 50"" 4K UHD WebOS Smart TV",59990,photos\AURA\AURA-50U4K-WOS.webp,https://joinelectroniccenter.com/photos/AURA/AURA-50U4K-WOS.webp,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779851045662
AURA,Television,4K UHD Smart WebOS TV,55 Inch,AURA-55U4K-WOS,"AURA 55"" 4K UHD WebOS Smart TV with Magic Remote",69990,photos\AURA\AURA-55U4K-WOS.webp,https://joinelectroniccenter.com/photos/AURA/AURA-55U4K-WOS.webp,,1 Year Comprehensive + 2 Years on Panel,daraz_market,9779851045662
AURA,Television,television,,AU32S,"Aura 32"" (32 inch) Android Smart TV - AU32S",21500,photos\AURA\AU32S.webp,https://joinelectroniccenter.com/photos/AURA/AU32S.webp,https://static-01.daraz.com.np/p/5b5bb139da74a63a83c38fdd7de46a9b.png,1 Year Seller Warranty,daraz_scrape,9779851045662
AURA,Television,television,,AU43S,"Aura 43"" (43 inch) Android Smart TV - AU43S",36500,photos\AURA\AU43S.webp,https://joinelectroniccenter.com/photos/AURA/AU43S.webp,https://static-01.daraz.com.np/p/b34a05ff0d94071d08f59a44c6a8d0af.png,1 Year Seller Warranty,daraz_scrape,9779851045662
AURA,Washing Machine,washing machine,7,OLFL 8WM,Aura 7 Kg Front Load Washing Machine Comet 4.5 kg Free,55500,photos\AURA\OLFL-8WM.webp,https://joinelectroniccenter.com/photos/AURA/OLFL-8WM.webp,https://np-live-21.slatic.net/kf/S2d420ac9aeb846fdb8b7cb1eade5744ce.jpg,1 year full product & 10 years on motor,daraz_scrape,9779851045662
AURA,Washing Machine,washing machine,7,DL-FLWM8012IVT,Aura 7 Kg Fully Automatic Front Load Washing Machine Comet 4.5 kg Free,55500,photos\AURA\DL-FLWM8012IVT.webp,https://joinelectroniccenter.com/photos/AURA/DL-FLWM8012IVT.webp,https://np-live-21.slatic.net/kf/S6d19fc451de44b87b7d2812fcfc1378cJ.jpg,1 year full parts & 10 years on motor warranty,daraz_scrape,9779851045662
AURA,Washing Machine,washing machine,8,AU8FWM01,Aura 8 KG Front Loading Fully Automatic Washing Machine with Inverter Motor_AU8FWM01,80490,photos\AURA\AU8FWM01.webp,https://joinelectroniccenter.com/photos/AURA/AU8FWM01.webp,https://static-01.daraz.com.np/p/f74575714d9ac096d24765f44ebb8fd5.jpg,1 years Full Services Warranty & 10 years warranty on motor,daraz_scrape,9779851045662
AURA,Washing Machine,washing machine,8,F70265AB,Aura 8 Kg Front Load Washing Machine BLDC Inverter Comet 4.5 kg Free,61500,photos\AURA\F70265AB.webp,https://joinelectroniccenter.com/photos/AURA/F70265AB.webp,https://np-live-21.slatic.net/kf/S0a5140392e394c8b82bfa8d076a373fdm.jpg,1 year full parts & 10 years motor warranty,daraz_scrape,9779851045662
AURA,Washing Machine,washing machine,8,WFQY9014EVJMS,Aura 8 Kg Front Load Washing Machine Comet 4.5 kg Free,61500,photos\AURA\WFQY9014EVJMS.webp,https://joinelectroniccenter.com/photos/AURA/WFQY9014EVJMS.webp,https://np-live-21.slatic.net/kf/Sf7cba8c3bf2e4973b718a6c242550d92a.jpg,1 Year Brand Warranty,daraz_scrape,9779851045662
AURA,Water Dispenser,water dispenser,,AURA-aura-hot-and-normal,aura hot and normal Alkaline Water Purifier,30000,photos\AURA\499255676-NP-2234526331.webp,https://joinelectroniccenter.com/photos/AURA/499255676-NP-2234526331.webp,https://static-01.daraz.com.np/p/f38d552856cfcdfb875c918da9ec7204.png,1 Year Brand Warranty,daraz_scrape,9779851045662
AURA,Water Purifier,water purifier,,Allura Premia,Livpure Allura Premia (RO+UV+UF+Copper+Alk+Mineraliser) Water Purifier,47251,photos\AURA\Allura-Premia.webp,https://joinelectroniccenter.com/photos/AURA/Allura-Premia.webp,https://static-01.daraz.com.np/p/3f4d76e9f3d032896c7ebe4cd71d0c08.jpg,1 Year Seller Warranty,daraz_scrape,9779851045662
Galanz,Washing Machine,Free Standing Dishwasher,12 Place Settings,W45A3A401N-0E0,Galanz 12 Place Settings Freestanding Dishwasher,64990,photos\Galanz\W45A3A401N-0E0.webp,https://joinelectroniccenter.com/photos/Galanz/W45A3A401N-0E0.webp,,1 Year Comprehensive Warranty,local_price_list,9779851045662
Galanz,Washing Machine,Free Standing Dishwasher (Silver Inox),14 Place Settings,W60B1A401S-AE1,Galanz 14 Place Settings Freestanding Dishwasher (Inox),68990,photos\Galanz\W60B1A401S-AE1.webp,https://joinelectroniccenter.com/photos/Galanz/W60B1A401S-AE1.webp,,1 Year Comprehensive Warranty,local_price_list,9779851045662
Himstar,Air Conditioner,air conditioner,2 Ton / 24000 BTU,HA-24IEHWJ/HE,"HIMSTAR 2 Ton Digital Inverter WIFI Air Conditioner AC = HA-24IEHWJ/HE With Cooling & Heating Functionality, Wi-Fi Connectivity and 7 Years  Warranty on Compressor",125790,photos\Himstar\HA-24IEHWJ-HE.webp,https://joinelectroniccenter.com/photos/Himstar/HA-24IEHWJ-HE.webp,https://static-01.daraz.com.np/p/b9c706f6ea9b06ca02a01a5c90f679d3.png,10 Years Brand Warranty,daraz_scrape,9779851045662
Himstar,Air Conditioner,air conditioner,60,HC - 6026,Himstar 60 litre Inverter Compatible Desert with Honeycomb Air Cooler  HC 6026,22190,photos\Himstar\HC-6026.webp,https://joinelectroniccenter.com/photos/Himstar/HC-6026.webp,https://np-live-21.slatic.net/kf/S16653e26f1ff4ba49bbfa388dc2dd9735.jpg,1 Year Brand Warranty,daraz_scrape,9779851045662
Himstar,Air Conditioner,air conditioner,95,Ice King,"Himstar 95 ltr cooler Ice King with high air throw and wide airflow , castrol wheel for industrial purpose",28999,photos\Himstar\Ice-King.webp,https://joinelectroniccenter.com/photos/Himstar/Ice-King.webp,https://static-01.daraz.com.np/p/9d7d2cc9f20be2dc4fd36fa2a7a636e8.jpg,1 Year Brand Warranty,daraz_scrape,9779851045662
Himstar,Air Conditioner,air conditioner,80,HC-80ITUWGJ/AI,Himstar Desert Air Cooler 80 Ltr- Turbo 80,21990,photos\Himstar\HC-80ITUWGJ-AI.webp,https://joinelectroniccenter.com/photos/Himstar/HC-80ITUWGJ-AI.webp,https://static-01.daraz.com.np/p/aa915fcb45ce85be3e8aecbb8a661f98.jpg,1 Year Brand Warranty,daraz_scrape,9779851045662
Himstar,Air Cooler,Desert Cooler,105 Ltr,HC-10526,Himstar 105 Litre Mega Desert Air Cooler HC-10526,22990,photos\Himstar\HC-10526.webp,https://joinelectroniccenter.com/photos/Himstar/HC-10526.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert / Personal Cooler,45 Ltr,HC-4526,Himstar 45 Litre Air Cooler HC-4526,11490,photos\Himstar\HC-4526.webp,https://joinelectroniccenter.com/photos/Himstar/HC-4526.webp,https://himstar.com.np/wp-content/uploads/2023/04/HC-4526.jpg,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,50 Ltr,HC-5026,Himstar 50 Litre Air Cooler HC-5026,13490,photos\Himstar\HC-5026.webp,https://joinelectroniccenter.com/photos/Himstar/HC-5026.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,50 Ltr,HC-5526,Himstar 50 Litre Air Cooler HC-5526,13990,photos\Himstar\HC-5526.webp,https://joinelectroniccenter.com/photos/Himstar/HC-5526.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,55 Ltr,HC-6026,Himstar 55 Litre Air Cooler HC-6026,17490,photos\Himstar\HC-6026.webp,https://joinelectroniccenter.com/photos/Himstar/HC-6026.webp,https://himstar.com.np/wp-content/uploads/2023/04/HC-6026.jpg,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,70 Ltr,HC-8026,Himstar 70 Litre Desert Air Cooler HC-8026,16990,photos\Himstar\HC-8026.webp,https://joinelectroniccenter.com/photos/Himstar/HC-8026.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,75 Ltr,HC-7526GK,Himstar 75 Litre Desert Air Cooler HC-7526GK,18990,photos\Himstar\HC-7526GK.webp,https://joinelectroniccenter.com/photos/Himstar/HC-7526GK.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,75 Ltr,HC-Supreme,Himstar 75 Litre Supreme Desert Air Cooler,17900,photos\Himstar\HC-Supreme.webp,https://joinelectroniccenter.com/photos/Himstar/HC-Supreme.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,85 Ltr,HC-8526,Himstar 85 Litre Heavy Duty Desert Air Cooler HC-8526,19990,photos\Himstar\HC-8526.webp,https://joinelectroniccenter.com/photos/Himstar/HC-8526.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Air Cooler,Desert Cooler,95 Ltr,HC-9526GK,Himstar 95 Litre Commercial Desert Air Cooler HC-9526GK,21490,photos\Himstar\HC-9526GK.webp,https://joinelectroniccenter.com/photos/Himstar/HC-9526GK.webp,,1 Year Motor & Pump Warranty,local_price_list,9779851045662
Himstar,Refrigerator,Bar Fridge,100 L,HR-10SHJ,Himstar 100L Single Door Bar Refrigerator,22990,photos\Himstar\HR-10SHJ.webp,https://joinelectroniccenter.com/photos/Himstar/HR-10SHJ.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,170 L,HR-17D71BRK,Himstar 170L Single Door Direct Cool Refrigerator (Burgundy),30990,photos\Himstar\HR-17D71BRK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-17D71BRK.webp,https://himstar.com.np/wp-content/uploads/2023/10/HR-17D71BRK.jpg,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,170 L,HR-17D71BFK,Himstar 170L Single Door Refrigerator (Blue Floral),31490,photos\Himstar\HR-17D71BFK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-17D71BFK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,170 L,HR-17D71RFK,Himstar 170L Single Door Refrigerator (Red Floral),31490,photos\Himstar\HR-17D71RFK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-17D71RFK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,170 L,HR-17D71SHK,Himstar 170L Single Door Refrigerator (Silver Hairline),30990,photos\Himstar\HR-17D71SHK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-17D71SHK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,refrigerator,190,HR-21D92SHJ/DX,Himstar 190L Single Door Refrigerator HR-21D92SHJ/DX | 5 Star Energy Rating | Toughened Glass Shelves | Door Lock | 10 Years Compressor Warranty | Metallic Silver,30990,photos\Himstar\HR-21D92SHJ-DX.webp,https://joinelectroniccenter.com/photos/Himstar/HR-21D92SHJ-DX.webp,https://static-01.daraz.com.np/p/755c08f4ebf702c06f18e2d554613d89.png,10 Years Brand Warranty,daraz_scrape,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,205 L,HR-205BRHJ-N,Himstar 205L Single Door Direct Cool Refrigerator (Burgundy Red),29990,photos\Himstar\HR-205BRHJ-N.webp,https://joinelectroniccenter.com/photos/Himstar/HR-205BRHJ-N.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,205 L,HR-205BFHK-N,Himstar 205L Single Door Refrigerator (Blue Floral),30990,photos\Himstar\HR-205BFHK-N.webp,https://joinelectroniccenter.com/photos/Himstar/HR-205BFHK-N.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,205 L,HR-205RFHK-N,Himstar 205L Single Door Refrigerator (Red Floral),30990,photos\Himstar\HR-205RFHK-N.webp,https://joinelectroniccenter.com/photos/Himstar/HR-205RFHK-N.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,210 L,HR-21D92BRI,Himstar 210L Inverter Refrigerator (Burgundy Inverter),33990,photos\Himstar\HR-21D92BRI.webp,https://joinelectroniccenter.com/photos/Himstar/HR-21D92BRI.webp,,1 Year Comprehensive + 10 Years on Inverter Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,210 L,HR-21D92RFI,Himstar 210L Inverter Refrigerator (Red Floral),33990,photos\Himstar\HR-21D92RFI.webp,https://joinelectroniccenter.com/photos/Himstar/HR-21D92RFI.webp,,1 Year Comprehensive + 10 Years on Inverter Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,210 L,HR-21D92SHI,Himstar 210L Inverter Single Door Refrigerator (Silver Hairline),33990,photos\Himstar\HR-21D92SHI.webp,https://joinelectroniccenter.com/photos/Himstar/HR-21D92SHI.webp,,1 Year Comprehensive + 10 Years on Inverter Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,210 L,HR-21D92BFI,Himstar 210L Single Door Inverter Refrigerator (Blue Floral),32990,photos\Himstar\HR-21D92BFI.webp,https://joinelectroniccenter.com/photos/Himstar/HR-21D92BFI.webp,,1 Year Comprehensive + 10 Years on Inverter Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,210 L,HR-210BHN,Himstar 210L Single Door Refrigerator (Burgundy Hairline),33490,photos\Himstar\HR-210BHN.webp,https://joinelectroniccenter.com/photos/Himstar/HR-210BHN.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,210 L,HR-210RHN,Himstar 210L Single Door Refrigerator (Red Hairline),33490,photos\Himstar\HR-210RHN.webp,https://joinelectroniccenter.com/photos/Himstar/HR-210RHN.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,220 L,HR-220CRVK-P,Himstar 220L Single Door Refrigerator Premium Chrome,33490,photos\Himstar\HR-220CRVK-P.webp,https://joinelectroniccenter.com/photos/Himstar/HR-220CRVK-P.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,220 L,HR-220SRAK-P,Himstar 220L Single Door Refrigerator Silver Ash,33490,photos\Himstar\HR-220SRAK-P.webp,https://joinelectroniccenter.com/photos/Himstar/HR-220SRAK-P.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,230 L,HR-23P30BRK,Himstar 230L Large Single Door Refrigerator (Burgundy),39990,photos\Himstar\HR-23P30BRK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-23P30BRK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,230 L,HR-23P30SHK,Himstar 230L Large Single Door Refrigerator (Silver Hairline),40490,photos\Himstar\HR-23P30SHK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-23P30SHK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,230 L,HR-23P30BFK,Himstar 230L Single Door Refrigerator (Blue Floral),40490,photos\Himstar\HR-23P30BFK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-23P30BFK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Single Door Direct Cool,230 L,HR-23P30RFK,Himstar 230L Single Door Refrigerator (Red Floral),40490,photos\Himstar\HR-23P30RFK.webp,https://joinelectroniccenter.com/photos/Himstar/HR-23P30RFK.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Refrigerator,Bar Fridge,50 L,HR-50SHJ,Himstar 50L Compact Mini Bar Refrigerator,21990,photos\Himstar\HR-50SHJ.webp,https://joinelectroniccenter.com/photos/Himstar/HR-50SHJ.webp,,1 Year Comprehensive + 5 Years on Compressor,local_price_list,9779851045662
Himstar,Small Home Appliance,Dry Iron,1000W,HI-1901DH,Himstar 1000W Heavyweight Dry Iron,1290,photos\Himstar\HI-1901DH.webp,https://joinelectroniccenter.com/photos/Himstar/HI-1901DH.webp,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Storage Geyser (Stainless Steel Tank),15 Litre,HG-15SSWGI/MI,Himstar 15L Atlantic Stainless Steel Water Geyser,13490,,,,1 Year on Product + 5 Years on Tank,local_price_list,9779851045662
Himstar,Small Home Appliance,Digital Glassline Storage Geyser,15 Litre,HG-15DIGLI/MI,Himstar 15L Auatic Digital Glassline Geyser,15490,,,,2 Years on Product + 7 Years on Glassline Tank,local_price_list,9779851045662
Himstar,Small Home Appliance,Stand Fan / Farrata,16 Inch Bullet Farrata,HS-16FARRATA,"Himstar 16"" High Speed Bullet Farrata Stand Fan",4400,photos\Himstar\HS-16FARRATA.webp,https://joinelectroniccenter.com/photos/Himstar/HS-16FARRATA.webp,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Remote Stand Fan,18 Inch Remote,HS-18SRBI/FI,"Himstar 18"" Remote Standing Fan",4600,,,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Drum Vacuum Cleaner,18 Litre / 1800W,HV-18828WRH/SE,Himstar 1800W Drum Vacuum Cleaner,9990,,,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Fan Room Heater,2000W,HS-2000ARHJ/JE,Himstar 2000W Fan Room Heater,1650,,,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Drum Vacuum Cleaner,22 Litre / 2200W,HV-22703ADH/SE,Himstar 2200W Heavy Drum Vacuum Cleaner,13490,,,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Storage Geyser (Stainless Steel Tank),25 Litre,HG-25SSWGI/MI,Himstar 25L Atlantic Stainless Steel Water Geyser,14990,,,,1 Year on Product + 5 Years on Tank,local_price_list,9779851045662
Himstar,Small Home Appliance,Digital Glassline Storage Geyser,25 Litre,HG-25DIGLI/MI,Himstar 25L Auatic Digital Glassline Geyser,16990,,,,2 Years on Product + 7 Years on Glassline Tank,local_price_list,9779851045662
Himstar,Small Home Appliance,Glassline Storage Geyser,25 Litre,HG-25GLWGI/MI,Himstar 25L Auatic Glassline Tank Water Geyser,15490,,,,2 Years on Product + 7 Years on Glassline Tank,local_price_list,9779851045662
Himstar,Small Home Appliance,Halogen Heater,3 Rods 1200W,HS-1212RHJ/JE,Himstar 3-Rod Halogen Room Heater (Oscillating),2600,,,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Digital Glassline Storage Geyser,35 Litre,HG-35DIGLI/MI,Himstar 35L Auatic Digital Glassline Geyser,18990,,,,2 Years on Product + 7 Years on Glassline Tank,local_price_list,9779851045662
Himstar,Small Home Appliance,Electric Pressure Cooker,3 Litre,HK-303EPI/ZA,Himstar 3L Digital Electric Pressure Cooker,6800,,,,1 Year Comprehensive Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Mixer Blender,4 Jars,HL-4002MGD/EE,Himstar 4-Jar Mixer Blender HL-4002MGD,5490,,,,1 Year Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Ceiling Fan,48 Inch (1200mm),HC-48CHBK/DA,"Himstar 48"" Ceiling Fan (Black)",2690,,,,2 Years Motor Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Electric Pressure Cooker,4 Litre,HK-4K2EPI/ZA,Himstar 4L Digital Electric Pressure Cooker,7200,,,,1 Year Comprehensive Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Electric Pressure Cooker,4 Litre,HK-4K1EPI/ZA,Himstar 4L Smart Electric Pressure Cooker,7200,,,,1 Year Comprehensive Warranty,local_price_list,9779851045662
Himstar,Small Home Appliance,Electric Pressure Cooker,6 Litre,HK-6K1EPI/ZA,Himstar 6L Digital Electric Pressure Cooker (Bronze),8500,,,,1 Year Comprehensive Warranty,local_price_list,9779851045662
